HORA;DIA;SALA;ACTIVIDAD;FOTO1;AFINIDAD;URL;;;;
15:10;18;SonarVillage by ESTRELLA DAMM;STA(ES);imgs/artist/sta_file.png;;http://sonar.es/es/2015/prg/ar/sta_470;;;;
15:15;18;SonarVillage by ESTRELLA DAMM;STA(ES);imgs/artist/sta_file.png;;http://sonar.es/es/2015/prg/ar/sta_470;;;;
15:20;18;SonarVillage by ESTRELLA DAMM;STA(ES);imgs/artist/sta_file.png;;http://sonar.es/es/2015/prg/ar/sta_470;;;;
15:25;18;SonarVillage by ESTRELLA DAMM;STA(ES);imgs/artist/sta_file.png;;http://sonar.es/es/2015/prg/ar/sta_470;;;;
15:30;18;SonarVillage by ESTRELLA DAMM;STA(ES);imgs/artist/sta_file.png;;http://sonar.es/es/2015/prg/ar/sta_470;;;;
15:35;18;SonarVillage by ESTRELLA DAMM;STA(ES);imgs/artist/sta_file.png;;http://sonar.es/es/2015/prg/ar/sta_470;;;;
15:40;18;SonarVillage by ESTRELLA DAMM;STA(ES);imgs/artist/sta_file.png;;http://sonar.es/es/2015/prg/ar/sta_470;;;;
15:45;18;SonarVillage by ESTRELLA DAMM;Innercut(ES);imgs/artist/innercut_file.png;;http://sonar.es/es/2015/prg/ar/_543;;;;
15:50;18;SonarVillage by ESTRELLA DAMM;Innercut(ES);imgs/artist/innercut_file.png;;http://sonar.es/es/2015/prg/ar/_543;;;;
15:55;18;SonarVillage by ESTRELLA DAMM;Innercut(ES);imgs/artist/innercut_file.png;;http://sonar.es/es/2015/prg/ar/_543;;;;
16:00;18;SonarVillage by ESTRELLA DAMM;Innercut(ES);imgs/artist/innercut_file.png;;http://sonar.es/es/2015/prg/ar/_543;;;;
16:05;18;SonarVillage by ESTRELLA DAMM;Innercut(ES);imgs/artist/innercut_file.png;;http://sonar.es/es/2015/prg/ar/_543;;;;
16:10;18;SonarVillage by ESTRELLA DAMM;Innercut(ES);imgs/artist/innercut_file.png;;http://sonar.es/es/2015/prg/ar/_543;;;;
16:15;18;SonarVillage by ESTRELLA DAMM;Innercut(ES);imgs/artist/innercut_file.png;;http://sonar.es/es/2015/prg/ar/_543;;;;
16:20;18;SonarVillage by ESTRELLA DAMM;Innercut(ES);imgs/artist/innercut_file.png;;http://sonar.es/es/2015/prg/ar/_543;;;;
16:25;18;SonarVillage by ESTRELLA DAMM;Innercut(ES);imgs/artist/innercut_file.png;;http://sonar.es/es/2015/prg/ar/_543;;;;
16:30;18;SonarVillage by ESTRELLA DAMM;Innercut(ES);imgs/artist/innercut_file.png;;http://sonar.es/es/2015/prg/ar/_543;;;;
16:35;18;SonarVillage by ESTRELLA DAMM;Innercut(ES);imgs/artist/innercut_file.png;;http://sonar.es/es/2015/prg/ar/_543;;;;
16:40;18;SonarVillage by ESTRELLA DAMM;Innercut(ES);imgs/artist/innercut_file.png;;http://sonar.es/es/2015/prg/ar/_543;;;;
16:45;18;SonarVillage by ESTRELLA DAMM;Kindness (UK);imgs/artist/kindness_file;1;http://sonar.es/es/2015/prg/ar/kindness_435;;;;
16:50;18;SonarVillage by ESTRELLA DAMM;Kindness (UK);imgs/artist/kindness_file;1;http://sonar.es/es/2015/prg/ar/kindness_435;;;;
16:55;18;SonarVillage by ESTRELLA DAMM;Kindness (UK);imgs/artist/kindness_file;1;http://sonar.es/es/2015/prg/ar/kindness_435;;;;
17:00;18;SonarVillage by ESTRELLA DAMM;Kindness (UK);imgs/artist/kindness_file;1;http://sonar.es/es/2015/prg/ar/kindness_435;;;;
17:05;18;SonarVillage by ESTRELLA DAMM;Kindness (UK);imgs/artist/kindness_file;1;http://sonar.es/es/2015/prg/ar/kindness_435;;;;
17:10;18;SonarVillage by ESTRELLA DAMM;Kindness (UK);imgs/artist/kindness_file;1;http://sonar.es/es/2015/prg/ar/kindness_435;;;;
17:15;18;SonarVillage by ESTRELLA DAMM;Kindness (UK);imgs/artist/kindness_file;1;http://sonar.es/es/2015/prg/ar/kindness_435;;;;
17:20;18;SonarVillage by ESTRELLA DAMM;Kindness (UK);imgs/artist/kindness_file;1;http://sonar.es/es/2015/prg/ar/kindness_435;;;;
17:25;18;SonarVillage by ESTRELLA DAMM;Kindness (UK);imgs/artist/kindness_file;1;http://sonar.es/es/2015/prg/ar/kindness_435;;;;
17:30;18;SonarVillage by ESTRELLA DAMM;Kindness (UK);imgs/artist/kindness_file;1;http://sonar.es/es/2015/prg/ar/kindness_435;;;;
17:35;18;SonarVillage by ESTRELLA DAMM;Kindness (UK);imgs/artist/kindness_file;1;http://sonar.es/es/2015/prg/ar/kindness_435;;;;
17:40;18;SonarVillage by ESTRELLA DAMM;Kindness (UK);imgs/artist/kindness_file;1;http://sonar.es/es/2015/prg/ar/kindness_435;;;;
17:45;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
17:50;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
17:55;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
18:00;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
18:05;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
18:10;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
18:15;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
18:20;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
18:25;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
18:30;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
18:35;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
18:40;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
18:45;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
18:50;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
18:55;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
19:00;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
19:05;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
19:10;18;SonarVillage by ESTRELLA DAMM;Kasper Bjorke (DK);imgs/artist/kasper.png;1;http://sonar.es/es/2015/prg/ar/kasper-bj%C3%B8rke_487;;;;
19:15;18;SonarVillage by ESTRELLA DAMM;J.E.T.S. (US);imgs/artist/jets_file.png;2;http://sonar.es/es/2015/prg/ar/j.e.t.s._520;;;;
19:20;18;SonarVillage by ESTRELLA DAMM;J.E.T.S. (US);imgs/artist/jets_file.png;2;http://sonar.es/es/2015/prg/ar/j.e.t.s._520;;;;
19:25;18;SonarVillage by ESTRELLA DAMM;J.E.T.S. (US);imgs/artist/jets_file.png;2;http://sonar.es/es/2015/prg/ar/j.e.t.s._520;;;;
19:30;18;SonarVillage by ESTRELLA DAMM;J.E.T.S. (US);imgs/artist/jets_file.png;2;http://sonar.es/es/2015/prg/ar/j.e.t.s._520;;;;
19:35;18;SonarVillage by ESTRELLA DAMM;J.E.T.S. (US);imgs/artist/jets_file.png;2;http://sonar.es/es/2015/prg/ar/j.e.t.s._520;;;;
19:40;18;SonarVillage by ESTRELLA DAMM;J.E.T.S. (US);imgs/artist/jets_file.png;2;http://sonar.es/es/2015/prg/ar/j.e.t.s._520;;;;
19:45;18;SonarVillage by ESTRELLA DAMM;J.E.T.S. (US);imgs/artist/jets_file.png;2;http://sonar.es/es/2015/prg/ar/j.e.t.s._520;;;;
