HORA;DIA;SALA;ACTIVIDAD;FOTO;AFINIDAD;URL;;;
9:30;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:45;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:00;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:15;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:30;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:45;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:00;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:15;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:30;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:45;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
12:00;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
12:15;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
12:30;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
12:45;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
13:00;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
13:15;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
13:30;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
13:45;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
14:00;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
14:15;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
14:30;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
14:45;18;Workshops;Mute Synth II Dirty Electronics (UK);imgs/artist/mute-synth.png;;http://sonarplusd.com/activity/build-the-mute-synth-ii-msii/;;;
15:00;18;Workshops;Mute Synth II Dirty Electronics (UK);imgs/artist/mute-synth.png;;http://sonarplusd.com/activity/build-the-mute-synth-ii-msii/;;;
15:15;18;Workshops;Mute Synth II Dirty Electronics (UK);imgs/artist/mute-synth.png;;http://sonarplusd.com/activity/build-the-mute-synth-ii-msii/;;;
15:30;18;Workshops;Mute Synth II Dirty Electronics (UK);imgs/artist/mute-synth.png;;http://sonarplusd.com/activity/build-the-mute-synth-ii-msii/;;;
15:45;18;Workshops;Mute Synth II Dirty Electronics (UK);imgs/artist/mute-synth.png;;http://sonarplusd.com/activity/build-the-mute-synth-ii-msii/;;;
16:00;18;Workshops;Mute Synth II Dirty Electronics (UK);imgs/artist/mute-synth.png;;http://sonarplusd.com/activity/build-the-mute-synth-ii-msii/;;;
16:15;18;Workshops;Mute Synth II Dirty Electronics (UK);imgs/artist/mute-synth.png;;http://sonarplusd.com/activity/build-the-mute-synth-ii-msii/;;;
16:30;18;Workshops;Mute Synth II Dirty Electronics (UK);imgs/artist/mute-synth.png;;http://sonarplusd.com/activity/build-the-mute-synth-ii-msii/;;;
16:45;18;Workshops;Mute Synth II Dirty Electronics (UK);imgs/artist/mute-synth.png;;http://sonarplusd.com/activity/build-the-mute-synth-ii-msii/;;;
17:00;18;Workshops;Mute Synth II Dirty Electronics (UK);imgs/artist/mute-synth.png;;http://sonarplusd.com/activity/build-the-mute-synth-ii-msii/;;;
17:15;18;Workshops;Mute Synth II Dirty Electronics (UK);imgs/artist/mute-synth.png;;http://sonarplusd.com/activity/build-the-mute-synth-ii-msii/;;;
17:30;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
17:45;18;Workshops;Arduino con D. Cuartielles;imgs/artist/arduino1.png;;http://sonarplusd.com/activity/arduino-the-importance-of-open-source/;;;
18:00;18;Workshops;Arduino con D. Cuartielles;imgs/artist/arduino1.png;;http://sonarplusd.com/activity/arduino-the-importance-of-open-source/;;;
18:15;18;Workshops;Arduino con D. Cuartielles;imgs/artist/arduino1.png;;http://sonarplusd.com/activity/arduino-the-importance-of-open-source/;;;
18:30;18;Workshops;Arduino con D. Cuartielles;imgs/artist/arduino1.png;;http://sonarplusd.com/activity/arduino-the-importance-of-open-source/;;;
18:45;18;Workshops;Arduino con D. Cuartielles;imgs/artist/arduino1.png;;http://sonarplusd.com/activity/arduino-the-importance-of-open-source/;;;
19:00;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
19:15;18;Workshops;No activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
19:30;18;Workshops;No activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
19:45;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
20:00;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
20:15;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
20:30;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
20:45;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:00;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:15;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:30;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:45;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:00;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:15;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:30;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:45;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:00;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:15;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:30;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:45;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
12:00;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
12:15;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
12:30;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
12:45;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
13:00;18;Networking Area;Music Production MeetUp by EUMES;imgs/artist/eumes.png;;http://sonarplusd.com/activity/music-production-meetup-by-eumes/;;;
13:15;18;Networking Area;Music Production MeetUp by EUMES;imgs/artist/eumes.png;;http://sonarplusd.com/activity/music-production-meetup-by-eumes/;;;
13:30;18;Networking Area;Music Production MeetUp by EUMES;imgs/artist/eumes.png;;http://sonarplusd.com/activity/music-production-meetup-by-eumes/;;;
13:45;18;Networking Area;Music Production MeetUp by EUMES;imgs/artist/eumes.png;;http://sonarplusd.com/activity/music-production-meetup-by-eumes/;;;
14:00;18;Networking Area;Music Production MeetUp by EUMES;imgs/artist/eumes.png;;http://sonarplusd.com/activity/music-production-meetup-by-eumes/;;;
14:15;18;Networking Area;Music Production MeetUp by EUMES;imgs/artist/eumes.png;;http://sonarplusd.com/activity/music-production-meetup-by-eumes/;;;
14:30;18;Networking Area;Music Production MeetUp by EUMES;imgs/artist/eumes.png;;http://sonarplusd.com/activity/music-production-meetup-by-eumes/;;;
14:45;18;Networking Area;Music Production MeetUp by EUMES;imgs/artist/eumes.png;;http://sonarplusd.com/activity/music-production-meetup-by-eumes/;;;
15:00;18;Networking Area;Meet the Expert;imgs/artist/meet_expert.png;;http://sonarplusd.com/es/activity/meet-the-expert-3/;;;
15:15;18;Networking Area;Meet the Expert;imgs/artist/meet_expert.png;;http://sonarplusd.com/es/activity/meet-the-expert-3/;;;
15:30;18;Networking Area;Meet the Expert;imgs/artist/meet_expert.png;;http://sonarplusd.com/es/activity/meet-the-expert-3/;;;
15:45;18;Networking Area;Meet the Expert;imgs/artist/meet_expert.png;;http://sonarplusd.com/es/activity/meet-the-expert-3/;;;
16:00;18;Networking Area;Meet the Expert;imgs/artist/meet_expert.png;;http://sonarplusd.com/es/activity/meet-the-expert-3/;;;
16:15;18;Networking Area;Meet the Expert;imgs/artist/meet_expert.png;;http://sonarplusd.com/es/activity/meet-the-expert-3/;;;
16:30;18;Networking Area;Meet the Expert;imgs/artist/meet_expert.png;;http://sonarplusd.com/es/activity/meet-the-expert-3/;;;
16:45;18;Networking Area;Meet the Expert;imgs/artist/meet_expert.png;;http://sonarplusd.com/es/activity/meet-the-expert-3/;;;
17:00;18;Networking Area;Meet the Expert;imgs/artist/meet_expert.png;;http://sonarplusd.com/es/activity/meet-the-expert-3/;;;
17:15;18;Networking Area;Meet the Expert;imgs/artist/meet_expert.png;;http://sonarplusd.com/es/activity/meet-the-expert-3/;;;
17:30;18;Networking Area;Meet the Expert;imgs/artist/meet_expert.png;;http://sonarplusd.com/es/activity/meet-the-expert-3/;;;
17:45;18;Networking Area;Meet the Expert;imgs/artist/meet_expert.png;;http://sonarplusd.com/es/activity/meet-the-expert-3/;;;
18:00;18;Networking Area;Meet the Expert;imgs/artist/meet_expert.png;;http://sonarplusd.com/es/activity/meet-the-expert-3/;;;
18:15;18;Networking Area;Meet the Expert;imgs/artist/meet_expert.png;;http://sonarplusd.com/es/activity/meet-the-expert-3/;;;
18:30;18;Networking Area;Meet the Expert;imgs/artist/meet_expert.png;;http://sonarplusd.com/es/activity/meet-the-expert-3/;;;
18:45;18;Networking Area;Meet the Expert;imgs/artist/meet_expert.png;;http://sonarplusd.com/es/activity/meet-the-expert-3/;;;
19:00;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
19:15;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
19:30;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
19:45;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
20:00;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
20:15;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
20:30;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
20:45;18;Networking Area;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:00;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:15;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:30;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:45;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:00;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:15;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:30;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:45;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:00;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:15;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:30;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:45;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
12:00;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
12:15;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
12:30;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
12:45;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
13:00;18;Welcome Bar;Vermut Acción Cultural Española;imgs/artist/no_activity.png;;http://sonar.es/es;;;
13:15;18;Welcome Bar;Vermut Acción Cultural Española;imgs/artist/no_activity.png;;http://sonar.es/es;;;
13:30;18;Welcome Bar;Vermut Acción Cultural Española;imgs/artist/no_activity.png;;http://sonar.es/es;;;
13:45;18;Welcome Bar;Vermut Acción Cultural Española;imgs/artist/no_activity.png;;http://sonar.es/es;;;
14:00;18;Welcome Bar;Vermut Acción Cultural Española;imgs/artist/no_activity.png;;http://sonar.es/es;;;
14:15;18;Welcome Bar;Vermut Acción Cultural Española;imgs/artist/no_activity.png;;http://sonar.es/es;;;
14:30;18;Welcome Bar;Vermut Acción Cultural Española;imgs/artist/no_activity.png;;http://sonar.es/es;;;
14:45;18;Welcome Bar;Vermut Acción Cultural Española;imgs/artist/no_activity.png;;http://sonar.es/es;;;
15:00;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
15:15;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
15:30;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
15:45;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
16:00;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
16:15;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
16:30;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
16:45;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
17:00;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
17:15;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
17:30;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
17:45;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
18:00;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
18:15;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
18:30;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
18:45;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
19:00;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
19:15;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
19:30;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
19:45;18;Welcome Bar;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
20:00;18;Welcome Bar;Copa Estrella;imgs/artist/estrella.png;;http://sonarplusd.com/activity/meetdrinks-sonard-by-estrella-damm/;;;
20:15;18;Welcome Bar;Copa Estrella;imgs/artist/estrella.png;;http://sonarplusd.com/activity/meetdrinks-sonard-by-estrella-damm/;;;
20:30;18;Welcome Bar;Copa Estrella;imgs/artist/estrella.png;;http://sonarplusd.com/activity/meetdrinks-sonard-by-estrella-damm/;;;
20:45;18;Welcome Bar;Copa Estrella;imgs/artist/estrella.png;;http://sonarplusd.com/activity/meetdrinks-sonard-by-estrella-damm/;;;
9:00;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:15;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:30;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:45;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:00;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:15;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:30;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:45;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:00;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:15;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:30;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:45;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
12:00;18;Escenario+D by Mazda Rebeis;Start up Competition;imgs/artist/startup_competition2.png;;http://sonar.es/es/2014/prg/sm/s%C3%B3nar-d-start-up-competition_222;;;
12:15;18;Escenario+D by Mazda Rebeis;Start up Competition;imgs/artist/startup_competition2.png;;http://sonar.es/es/2014/prg/sm/s%C3%B3nar-d-start-up-competition_222;;;
12:30;18;Escenario+D by Mazda Rebeis;Start up Competition;imgs/artist/startup_competition2.png;;http://sonar.es/es/2014/prg/sm/s%C3%B3nar-d-start-up-competition_222;;;
12:45;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
13:00;18;Escenario+D by Mazda Rebeis;Yancey Strickler CEO CoFounder Kickstarter;imgs/artist/yancey.png;;http://sonarplusd.com/es/activity/yancey-strickler-ceo-kickstarter/;;;
13:15;18;Escenario+D by Mazda Rebeis;Yancey Strickler CEO CoFounder Kickstarter;imgs/artist/yancey.png;;http://sonarplusd.com/es/activity/yancey-strickler-ceo-kickstarter/;;;
13:30;18;Escenario+D by Mazda Rebeis;Yancey Strickler CEO CoFounder Kickstarter;imgs/artist/yancey.png;;http://sonarplusd.com/es/activity/yancey-strickler-ceo-kickstarter/;;;
13:45;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
14:00;18;Escenario+D by Mazda Rebeis;Jim Kolmar: Programador SXSW(US);imgs/artist/jim_kolmar.png;;http://sonarplusd.com/es/activity/4371/;;;
